Comment,Designator,Footprint,LCSC
Conn_01x02_Pin,J5,PinHeader_1x02_P2.54mm_Vertical,C124375
1uF,C4,C_0402_1005Metric,C14445
0.1uF,"C1,C10,C5,C6,C8",C_0805_2012Metric,C1711
0,R2,R_2512_6332Metric,C25469
10uF_Polarized,C11,CP_Elec_5x5.4,C4747971
10uF,C2,C_1206_3216Metric,C47971
Conn_01x03_Pin,"J1,J2",PinHeader_1x03_P2.54mm_Vertical,C49257
OCETCLJANF-25.000000MHZ,X1,Crystal_SMD_7050-4Pin_7.0x5.0mm,C558756
50,R1,R_0402_1005Metric,C60490
REF196,U2,SOIC-8_3.9x4.9mm_P1.27mm,C70012
Conn_01x01_Pin,"J3,J4,J6,J7",PinHeader_1x01_P2.54mm_Vertical,C81276
0.1nF,C3,C_0805_2012Metric,C82028
0.01uF,C9,C_1206_3216Metric,C9194
AD9833xRM,U1,MSOP-10_3x3mm_P0.5mm,C9652
