Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,121.0,-130.0,-90.0,top
C10,0.1uF,C_0805_2012Metric,132.0,-64.3875,90.0,top
C11,10uF_Polarized,CP_Elec_5x5.4,118.0,-95.6875,-90.0,top
C2,10uF,C_1206_3216Metric,115.0,-130.0,-90.0,top
C3,0.1nF,C_0805_2012Metric,140.0,-129.0,-90.0,top
C4,1uF,C_0402_1005Metric,148.0,-128.52,-90.0,top
C5,0.1uF,C_0805_2012Metric,153.0,-117.95,-90.0,top
C6,0.1uF,C_0805_2012Metric,158.0,-115.0,-90.0,top
C8,0.1uF,C_0805_2012Metric,128.0,-95.9375,90.0,top
C9,0.01uF,C_1206_3216Metric,144.0,-65.8875,90.0,top
J1,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,154.0,-76.8475,180.0,top
J2,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,148.0,-116.54,0.0,top
J3,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,144.0,-93.0,0.0,top
J4,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,158.0,-132.0,0.0,top
J5,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,127.0,-76.6575,0.0,top
J6,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,149.5,-60.8875,90.0,top
J7,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,115.0,-120.0,0.0,top
R1,50,R_0402_1005Metric,148.0,-69.8775,-90.0,top
R2,0,R_2512_6332Metric,160.9625,-110.0,180.0,top
U1,AD9833xRM,MSOP-10_3x3mm_P0.5mm,146.0,-76.0,0.0,top
U2,REF196,SOIC-8_3.9x4.9mm_P1.27mm,130.0,-125.0,0.0,top
X1,OCETCLJANF-25.000000MHZ,Crystal_SMD_7050-4Pin_7.0x5.0mm,153.0,-105.0,90.0,top
