Comment,Designator,Footprint,LCSC
C116241,"C7,C8",CP_Elec_8x10,C116241
C14663,"C1,C2,C4,C6",C_0603_1608Metric,C14663
AD9833xRM,U2,MSOP-10_3x3mm_P0.5mm,C1519069
RTT025002FTH,R3,R_0402_1005Metric,C166559
C1779,C3,C_0805_2012Metric,C1779
C17901,"R10,R11,R12,R13,R4,R5,R6,R7,R8,R9",R_1206_3216Metric,C17901
THS3091DDAR,U1,TI_SO-PowerPAD-8_ThermalVias,C181226
0603WAF1001T5E,R2,R_0603_1608Metric,C21190
Conn_01x01_Pin,"J1,J2,J4,J5",PinHeader_1x01_P2.54mm_Vertical,C213184
C37208,J6,PinHeader_1x06_P2.54mm_Vertical,C37208
C492401,"J7,J8",PinHeader_1x02_P2.54mm_Vertical,C492401
Conn_01x03_Pin,J3,PinHeader_1x03_P2.54mm_Vertical,C49257
C558756,X1,Crystal_SMD_7050-4Pin_7.0x5.0mm,C558756
C57112,C5,C_0603_1608Metric,C57112
RT0603BRE0750RL,R1,R_0603_1608Metric,C849792
SWB1040-PCL,T1,SWB1040PCL,
